"","gene","variable","value","region","stage"
"308","Solyc09g082550.2.1","b2.leaf",1.75811133722636,"leaf","1"
"309","Solyc09g098250.2.1","b2.leaf",1.58686940404099,"leaf","1"
"310","Solyc10g017610.1.1","b2.leaf",0.947023788790542,"leaf","1"
"311","Solyc10g083410.1.1","b2.leaf",1.74467624935212,"leaf","1"
"312","Solyc11g031950.1.1","b2.leaf",1.85139652373528,"leaf","1"
"313","Solyc11g040170.1.1","b2.leaf",1.44919896327106,"leaf","1"
"314","Solyc12g044180.1.1","b2.leaf",1.33313719654468,"leaf","1"
"315","Solyc12g049500.1.1","b2.leaf",1.42203208925296,"leaf","1"
"316","Solyc12g088640.1.1","b2.leaf",1.5272641871925,"leaf","1"
"317","Solyc03g078120.2.1","b2.leaf",1.81029846404226,"leaf","1"
"318","Solyc03g118450.1.1","b2.leaf",0.85773415044961,"leaf","1"
"319","Solyc06g050160.2.1","b2.leaf",2.36131122526355,"leaf","1"
"320","Solyc03g082550.2.1","b2.leaf",1.04188437109953,"leaf","1"
"321","Solyc09g007710.2.1","b2.leaf",1.24976206574755,"leaf","1"
"322","Solyc00g230080.1.1","b2.leaf",1.59236310062971,"leaf","1"
"323","Solyc01g007780.2.1","b2.leaf",1.18680621180375,"leaf","1"
"324","Solyc01g112050.2.1","b2.leaf",1.93393704078534,"leaf","1"
"325","Solyc02g082050.2.1","b2.leaf",1.85023866564179,"leaf","1"
"326","Solyc07g055020.2.1","b2.leaf",1.79346308372059,"leaf","1"
"327","Solyc08g083400.2.1","b2.leaf",1.71522317372899,"leaf","1"
"328","Solyc09g014860.2.1","b2.leaf",2.38073572567886,"leaf","1"
"329","Solyc12g010720.1.1","b2.leaf",1.51328855955333,"leaf","1"
"330","Solyc10g055730.1.1","b2.leaf",1.78829076790212,"leaf","1"
"331","Solyc08g079190.1.1","b2.leaf",2.13198520584823,"leaf","1"
"332","Solyc06g060530.1.1","b2.leaf",1.93393704078534,"leaf","1"
"333","Solyc11g044250.1.1","b2.leaf",2.3195510688288,"leaf","1"
"334","Solyc01g006250.1.1","b2.SAM",-1.21930113529721,"SAM","1"
"335","Solyc01g006300.2.1","b2.SAM",-0.637461970117854,"SAM","1"
"336","Solyc01g006850.1.1","b2.SAM",0.954851361216138,"SAM","1"
"337","Solyc01g008940.2.1","b2.SAM",-0.697679074344922,"SAM","1"
"338","Solyc01g017500.1.1","b2.SAM",-0.553248173509095,"SAM","1"
"339","Solyc01g080050.2.1","b2.SAM",-0.512635436681707,"SAM","1"
"340","Solyc01g099260.2.1","b2.SAM",-0.444100493634558,"SAM","1"
"341","Solyc01g099450.2.1","b2.SAM",0.176769660196516,"SAM","1"
"342","Solyc01g103660.2.1","b2.SAM",-0.728228043679359,"SAM","1"
"343","Solyc01g111160.2.1","b2.SAM",-0.729432927272557,"SAM","1"
"344","Solyc02g070420.2.1","b2.SAM",-0.774456244801999,"SAM","1"
"345","Solyc02g084130.2.1","b2.SAM",-0.467381804407905,"SAM","1"
"346","Solyc02g089480.1.1","b2.SAM",-0.708567929689676,"SAM","1"
"347","Solyc02g090690.1.1","b2.SAM",-0.954532949292346,"SAM","1"
"348","Solyc02g091140.2.1","b2.SAM",0.524017748216301,"SAM","1"
"349","Solyc02g093380.1.1","b2.SAM",-0.388622650450702,"SAM","1"
"350","Solyc03g013440.2.1","b2.SAM",-0.8203557081782,"SAM","1"
